Densities = per acre | BA = sq. ft. / acre | Heights = feet | QMD = inches

Macroplot,MonStatusOrd,MonStatus,Species,SciName,CommName,Individuals,Sapling,Seedling,Snag,Total,BA,LiCrBHt,Height,QMD,CrFuBHt,CrScPct,ScorchHt,CharHt,LiveSeedling,DeadSeedling,LiveSapling,DeadSapling,BASapling
"FPICO1T08:13",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",133.549170376366,,,8.09388911371914,133.549170376366,60.8221764136293,,32.808,9.13790928096777,,,,,,,,,
"FPICO1T08:13",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",52.6102792391744,,,4.04694455685957,52.6102792391744,11.3751522689235,,25.6996,6.2962181524156,,,,,,,,,
"FPICO1T08:13",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,,,88.5269121813031,0,0,,,,,,,,,,,,
"FPICO1T08:14",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",352.084176446783,,,89.0327802509106,352.084176446783,94.2466185280371,,28.8070243902439,7.0056122496198,,,,,,,,,
"FPICO1T08:14",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,,,139.113719142048,0,0,,,,,,,,,,,,
"FPICO1T08:15",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",267.098340752732,,,133.549170376366,267.098340752732,89.5762321605828,,23.9305411764706,7.84146595900369,,,,,,,,,
"FPICO1T08:15",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",113.820315661675,,,341.460946985026,113.820315661675,21.659951280375,13.61532,33.661008,5.90684134396342,,,,,,,,,
"FPICO1T08:16",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,,,0,4.04694455685957,2.2597032413797,,,10.11809,,,,,,,,,
"FPICO1T08:16",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",238.769728854715,,,28.328611898017,238.769728854715,77.646118480004,,27.5301913043478,7.72158938420602,,,,,,,,,
"FPICO1T08:16",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",0,,,12.6467017401862,0,0,,,,,,,,,,,,
"FPICO1T08:16",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,,,75.880210441117,0,0,,,,,,,,,,,,
"FPICO1T08:19",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",8.09388911371914,,,0,8.09388911371914,5.0663279504076,,,10.7128367144188,,,,,,,,,
"FPICO1T08:19",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",165.924726831242,,,32.3755564548766,165.924726831242,70.3943968983589,,22.9656,8.81962158576228,,,,,,,,,
"FPICO1T08:19",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,,,0,12.1408336705787,16.3446587659692,,,15.7108663988665,,,,,,,,,
"FPICO1T08:19",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",50.5868069607446,,,12.6467017401862,50.5868069607446,17.3134634656915,0,47.5716,7.92154337853742,,,,,,,,,
"FPICO1T08:19",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",63.2335087009308,,,151.760420882234,63.2335087009308,11.4083811864422,12.13896,29.5272,5.75141668132991,,,,,,,,,
"FPICO1T08:19",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",0,,,12.6467017401862,0,0,,,,,,,,,,,,
"FPICO1T08:20",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",271.145285309591,,,101.173613921489,271.145285309591,78.0230036850342,,20.6789818181818,7.26351378757041,,,,,,,,,
